"path_3"	"UCS_0001_BAL"	"UCS_0002_BAL"	"UCS_0002_UA"	"UCS_0004_BAL"	"UCS_0005_BAL"	"UCS_0006_BAL"	"UCS_0007_BAL"	"UCS_0007_UA"	"UCS_0009_BAL"	"UCS_0009_UA"	"UCS_0010_BAL"	"UCS_0010_UA"	"UCS_0013_BAL"	"UCS_0013_UA"	"UCS_0014_BAL"	"UCS_0014_UA"	"UCS_0015_BAL"	"UCS_0015_UA"	"UCS_0016_BAL"	"UCS_0016_UA"	"UCS_0017_BAL"	"UCS_0018_BAL"	"UCS_0018_UA"	"UCS_0019_BAL"	"UCS_0020_BAL"	"UCS_0021_BAL"	"UCS_0021_UA"	"UCS_0022_BAL"	"UCS_0022_UA"	"UCS_0023_BAL"	"UCS_0023_UA"	"UCS_0025_BAL"	"UCS_0025_UA"	"UCS_0028_BAL"	"UCS_0028_UA"	"UCS_0029_BAL"	"UCS_0030_BAL"	"UCS_0030_UA"	"UCS_0031_BAL"	"UCS_0032_BAL"	"UCS_0032_UA"	"UCS_0033_BAL"	"UCS_0034_BAL"	"UCS_0035_BAL"	"UCS_0036_BAL"	"UCS_0037_BAL"	"UCS_0038_BAL"	"UCS_0038_UA"	"UCS_0039_BAL"	"UCS_0039_UA"	"UCS_0040_BAL"	"UCS_0040_BKG"	"UCS_0041_BAL"	"UCS_0041_UA"	"UCS_0042_BAL"	"UCS_0042_UA"	"UCS_0043_BAL"	"UCS_0043_UA"	"UCS_0044_BAL"	"UCS_0045_BAL"	"UCS_0046_BAL"	"UCS_0046_UA"	"UCS_0047_BAL"	"UCS_0048_BAL"	"UCS_0048_UA"	"UCS_0049_BAL"	"UCS_0050_BAL"	"UCS_0050_UA"	"UCS_0051_BAL"	"UCS_0051_UA"	"UCS_0052_BAL"	"UCS_0053_BAL"	"UCS_0053_UA"	"UCS_0054_BAL"	"UCS_0054_UA"	"UCS_0055_BAL"	"UCS_0055_UA"	"UCS_0056_BAL"	"UCS_0057_BAL"	"UCS_0057_UA"	"UCS_0058_BAL"	"UCS_0058_UA"	"UCS_0059_BAL"	"UCS_0060_BAL"	"UCS_0060_UA"	"UCS_0061_BAL"	"UCS_0061_UA"	"UCS_0062_BAL"	"UCS_0063_BAL"	"UCS_0063_UA"	"UCS_0064_BAL"	"UCS_0065_BAL"	"UCS_0066_BAL"	"UCS_0069_BAL"	"UCS_0069_BKG"	"UCS_0070_BAL"	"UCS_0070_BKG"	"UCS_0071_BAL"	"UCS_0072_BAL"	"UCS_0073_BAL"	"UCS_0073_UA"	"UCS_0074_BAL"	"UCS_0074_UA"	"UCS_0075_BAL"	"UCS_0076_BAL"	"UCS_0077_BAL"	"UCS_0077_UA"	"UCS_0079_BAL"	"UCS_0079_UA"	"UCS_0080_BAL"	"UCS_0081_BAL"	"UCS_0082_BAL"	"UCS_0083_BAL"	"UCS_0083_UA"	"UCS_0085_BAL"	"UCS_0085_BKG"	"UCS_0087_BAL"	"UCS_0088_BAL"	"UCS_0088_UA"	"UCS_0090_BAL"	"UCS_0093_BAL"	"UCS_0093_UA"	"UCS_0094_BAL"	"UCS_0094_UA"	"UCS_0095_BAL"	"UCS_0096_BAL"	"UCS_0096_UA"	"UCS_0097_BAL"	"UCS_0097_UA"	"UCS_0098_BAL"	"UCS_0099_BAL"	"UCS_0099_UA"	"UCS_0100_BAL"	"UCS_0101_BAL"	"UCS_0101_UA"	"UCS_0103_BAL"	"UCS_0106_BAL"	"UCS_0106_UA"	"UCS_0109_BAL"	"UCS_0114_BAL"	"UCS_0115_BAL"	"UCS_0116_BAL"	"UCS_0118_BAL"	"UCS_0123_BAL"	"UCS_0128_BAL"	"UCS_0130_BAL"	"UCS_0130_UA"	"UCS_0134_UA"	"UCS_0136_BKG"	"UCS_0138_BAL"	"UCS_0144_BAL"	"UCS_0147_BAL"	"UCS_0148_BAL"	"UCS_0148_UA"	"UCS_0151_BAL"	"UCS_0153_BAL"	"UCS_0153_UA"	"UCS_0154_BAL"	"UCS_0154_UA"	"UCS_0156_BAL"	"UCS_0156_UA"	"UCS_0158_BAL"	"UCS_0158_UA"	"UCS_0159_BAL"	"UCS_0159_UA"	"UCS_0160_BAL"	"UCS_0163_BAL"	"UCS_0164_BAL"	"UCS_0164_UA"	"UCS_0167_UA"	"UCS_0168_BAL"	"UCS_0170_BAL"	"UCS_0170_UA"	"UCS_0171_BAL"	"UCS_0172_UA"	"UCS_0174_BAL"	"UCS_0174_UA"	"UCS_0175_BAL"	"UCS_0175_UA"	"UCS_0176_BAL"	"UCS_0177_BAL"	"UCS_0177_UA"	"UCS_0180_BAL"	"UCS_0182_UA"	"UCS_0185_BAL"	"UCS_0185_UA"	"UCS_0190_BAL"	"UCS_0191_BAL"	"UCS_0191_UA"	"UCS_0192_BAL"	"UCS_0192_UA"	"UCS_0194_BAL"
"ABCD (ALD) subfamily"	0	1	0	0	1	19	0	0	0	3	2	2	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	14	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1099	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	290	19	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	8	0	0	0	133	0	0	22	0	0	0	4	0	0	2	6	0	0	0	0	5	0	0	0	0	0	7	0	0	29	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"ABCG (White) subfamily"	0	0	538	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	18	0	8	0	0	0	0	0	0	0	244	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	10	13	36	0	0	0	0	0	3848	0	0	0	2	0	0	2	0	0	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	277	0	4	16	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	4	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABO blood group"	0	2	3075	3	0	92	0	0	2	36	0	0	0	23	0	0	0	23	0	0	0	0	1	0	0	0	37	0	40	0	0	0	0	0	0	0	164	0	0	0	0	0	13	0	59	0	0	0	0	0	0	0	0	0	4	481	0	0	0	2	0	66	0	7	65	0	0	6	0	2	0	0	0	146	36	0	0	0	0	0	0	0	2	0	0	63	785	1	9	29	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	3	0	0	127	0	0	0	1329	0	12	0	0	0	0	1	0	23	0	0	74	0	0	1183	0	0	0	318	485	0	4	0	0	13	1166	0	0	0	0	0	0	0	7	0	0	112	5	0	41	0	0	0	0	407	0	13	0	0	0	0	241	35
"Acarbose and validamycin biosynthesis"	0	9	11183	0	362	4052	536	13956	5	5949	71	4311	971	2992	10	1021	80	1087	102	14373	4	1430	11765	1	8	0	902	2	505	215	400	582	2874	124	9376	4	1623	211	0	453	468	10	47	151	87	4	246	786	0	7171	119	1239	196	9822	39	2148	204	4184	4	6	0	5619	4	261	56467	0	166	8942	2	32642	4	3423	567	73	1970	3	1135	0	22	8019	254	102738	2	3	581	95	1278	1839	208	2387	21	2	2	8	795	60	7164	2	8	23	5745	16	10802	17	2	51	25559	16	53741	0	4	3	30	2859	122	4	2	290	3322	8	1993	223813	22	57151	19	3040	39855	6	9985	3	38	70506	0	34	1190	0	3760	15115	40094	821	2	716	64	33	233	2491	3955	369393	269	5127	4	0	200	3898	16	51	4121	2825	42332	10	523	127872	139099	32	7299	6	21	2	1267	3692	4	49	5145	4	1194	24063	411	776	5376	41	1069	2615	51	1137	3649	3446	5	1	1245	166	4682	30
"Accessory factors involved in transport"	39	370	59196	119	704	7668	1557	53242	87	23342	319	14806	3335	9647	56	2426	282	4305	724	36012	32	4795	37080	27	18	3	5686	60	1961	684	2422	1647	12648	320	15086	160	19293	1195	21	1692	1445	51	403	189	557	10	608	2721	18	44182	44	4551	913	42194	177	11034	576	22960	221	69	73	12331	28	2185	252717	100	338	5630	15	237404	23	9692	1878	855	8897	14	6516	253	8	19351	454	183897	22	612	5424	2190	13298	3152	1330	6734	1109	14	266	79	467	35	9351	18	31	60	40767	60	51829	201	23	960	324444	37	85647	7	49	10	61	11828	5712	4522	407	1088	9413	10	2018	252439	121	142059	259	15332	222333	235	37121	7	219	294624	54	17	4518	13	14696	96722	47859	935	1062	3198	3253	226	1537	9815	22130	3860712	382	164203	175	6	2276	22031	69	219	14987	12331	130195	339	2412	555356	357605	443	32519	350	206	40	2751	12864	321	363	11285	8	11111	118678	2080	1140	27125	1677	7920	8458	534	5997	2157	9891	37	13	5181	76	31886	227
"ACHE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACP1"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	10	0	0	0
"actI1, oxyA, tcmK, snoa1, aknB, mtmP"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1	0	0	0	0	0	0	0	65	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actI2, oxyB, tcmL, snoa2, aknC, mtmK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"actI3, oxyC, tcmM, snoa3, aknD, mtmS"	0	142	3386	8	0	485	2	0	2	117	27	14	41	65	0	0	0	130	0	0	0	0	336	0	0	0	347	0	53	2	0	0	0	0	0	25	460	6	0	2	0	0	110	0	117	0	0	0	0	0	0	0	2	0	1	6528	1	0	5	4	4	490	0	2	328	0	9	38	1	0	0	0	0	30	35	0	0	0	0	0	0	0	5	0	20	109	742	0	13	57	194	0	0	1	0	8	435	0	0	0	0	0	0	2	0	25	3	0	0	0	0	0	0	0	2	0	0	0	4	0	0	3	0	0	1	3	0	0	0	0	0	231	0	0	644	0	0	0	2030	0	1	0	0	0	2	0	31	445	0	0	0	0	0	3110	0	0	0	60	2024	0	133	0	0	0	2923	45	0	0	0	0	0	0	120	0	0	0	76	0	755	0	0	0	2	1427	0	145	0	0	0	0	688	7
