taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Tellurium_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	466	0	0	1	0	0	0	0	0	0	3	0	0
Copper_resistance	1	4	1	5	4	7	4	0	6	2	2	9	9	28	56	0	1	1	4	1	3	34	3	3	1	0	68	2	67	1	0	125	104	1	50	0	1	1	2	5	11	1	1	13	2	3	6	0	3	0	0	478	1	0	0	0	8	52	0	0	1	1	2	6	1	0	0	0	2	14	1	0	0	3	0	1	4	1	0	7	0	1	0	71	97	91	64	290	0	1	3	3	215	2	3338	1	0	0	8	0	158	8	1	28	896	2	2	0	2	4	0	9	0	164	0	7	4	1	3	4	3	0	1	0	0	0	2	1	1	1	29	2	0	0	11	2	0	10	19	72	2	2	13	0	1	421	76	319	27	0	259	1	41	9	0	681	1765	30	0	1881	1633	1	0	4	2	2	58	11	15	0	22	18	17	12	0	40	66	89	0	21	7	0	1	1	2	0	0
Cationic_antimicrobial_peptides	5	0	0	0	0	0	0	0	5	0	0	0	1	0	5	0	0	0	9	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	1	6	10	228	3	0	0	1	0	1	1	55	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	1	0	28	0	0	0	0	0	0	0	0	0	5	1	0	0	1	0	13	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	4	0	0	0	13	1	0	0	0	0	0	0	0	0	0	1	1	9	12	1	0	0	0	0	0	0	4	1	1	0	0	9	0	1	0	0	0	0	0	0	0
Aluminum_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rifampin	47.142	13.817	14	14	97.101	13	18.879	23.959	53.194	1090.899	612.665	2248.001	5783.852	22425.39	12	69.698	1688.208	1120.791	503.681	2593.372	64.284	234.612	10690	10.4	37	6.5	864.424	9	73.784	720	8427	224.186	162	761.506	7022.939	29	83649.335	3313	15.552	582.775	504.694	73.5	39.614	72.3	5	12.25	84	2033.068	12.999	28099.903	35.999	89.25	70	33127.091	41.627	111.128	1062.679	132986.032	602	15.262	11.802	12.334	4258.533	79929.536	17	110	4664.999	23	93327.573	4368.527	4157.594	29.465	15.719	18.001	1617.114	41	9.331	34.799	5	90.415	39.921	285.248	2020.716	1387	5747.926	3605.411	1159.048	8181	25.986	36.998	103	250	5	95.75	3750.501	19	150.759	15.923	27727.878	57	37226.38	130.721	22.229	3567.698	346092.472	5	1169.774	1.888	113.165	25	189.999	950.049	7079.72	1043.858	1440.4	336	2761.738	23	44.933	44.744	51	95.689	881.999	374.774	2300.605	76.683	24308.858	7.666	17.6	188.089	407.001	17.999	2146.476	13	801	6475.53	425.525	598.67	36.5	20364.191	58	15	1088.274	2514.337	13489.775	7177.608	3	28.476	53.599	7.999	323.625	5542.32	809.426	3	3126.587	711.478	754.908	2160.199	2573	103464.755	205198.094	23	603.798	45.6	29	22.63	63.422	2451.163	111.698	6929.001	377.728	224	87.499	6682.579	6845	105.6	1182.23	4812.415	3.997	25	127.769	20.858	13	4	170.667	29.164	437.333
Multi-metal_resistance	19	293	2993	2	61	9	61	261	28	907	22	89	5	48	4	2	24	224	102	938	3	2200.938	740	1	2	12	578	1	10	15	10	189	756	9	626	6	136	6	1	363	715.366	1	7	17	0	12	10	73	28	3017	2	487	5	234	6.999	71	12	58	0	1	13	6	22	1039	13	0	0	0	123	618	96	37	373	7	13	5	3	472	17	1995	5	9	1	391	1312	56	74	79	1	0	3	1.999	219	10	184	0	11	9	1068	21	734	30	1	6	97	27	1703	0	1	6	13	399	206.001	104.999	259	1	152	3.999	90	2003.999	5	2921	2	629	1607	34	3185.433	2	2	3140	479.001	3.998	99	30	94	278	4256	111	141	1950	21	6	64	12	2	9872.554	253	790	50.999	9	87	21	23	8	646	276	949	15	22	5989	3080.001	153	992	19	488	29.999	93	1698.826	6	316	27	21	538	536	1	97.008	230	2605	86	15	719	1	0	189	3	331	4
Naphthoquinone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acid_resistance	10	0	0	4	12	20	2	1	8	0	17	0	0	0	0	0	3	0	9	0	0	0	1	0	0	1	1	0	0	0	0	0	4	0	0	0	17	0	0	1	1	0	0	0	0	0	3	0	0	0	6	753	0	0	0	10	2	0	0	0	0	6	1	0	0	0	0	0	4	0	0	2	0	0	0	0	1	0	0	51	0	0	0	30	472	35	0	2	9	0	1	1	67	1	316	2	0	0	0	0	13	4	0	0	0	0	0	0	3	0	3	0	0	0	5	0	0	1	1	3	1	0	4	5	0	0	2	0	4	0	50	38	2	1	0	0	2	160	5	8	4	7	1	0	0	0	2	0	6	0	87	1	2	4	0	1	0	326	0	0	1	22	1	3	7	4	5	0	0	7	0	0	188	0	0	0	0	943	2	36	0	0	0	0	0	3	0
Bacitracin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycopeptides	5	36.999	431.002	1	44.999	18.677	4	34.001	59.539	1	92	1	461	0	17.999	51.001	42	1	17	0	21	21.001	4	27.364	14	0	15	3.424	1	1	0	1	9.699	5	32	27	50	1	21	33	4	21.999	32.002	44	15.134	0	25	5	1	0	15.871	2418.001	3.839	63	47.999	3	1	1	0	15	11	24	31216.001	434492.475	5	4	20	38.001	539902.872	25	0	31	31	9	53	1	0	245.572	13	564.063	23.999	27	2	0	21	71.604	16	8	19.001	19.999	9	197.001	996.125	1	1357.368	1	33	4	1	0	0	17	20	133	5400.862	23	1105.017	0	19.999	15.998	0	118.281	38.001	126.606	0	25	0	13.095	82	25.999	19.999	151.298	39.999	1060	16531.019	33.999	416.367	2	31.796	790.02	1.168	8.043	17.449	2.168	1.395	27	7.001	94.617	52.39	28.998	7	21	43.87	0	3	33.001	563.172	1084.01	105	1.055	28.91	29.361	16.898	98.684	1	37.703	131.262	28.078	7	19.001	22	12.584	102.001	6.724	177.124	45	64.901	0	22.999	2	56	10	73.338	20	17.001	26.364	2	83.001	1	20.001	0	32	20.001	174.296	0.015	256	183
Polyamine_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
